Orpheus,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Integrated,Orpheus_,0002,Orpheus_0002,,,,"Sorry things've not been going quite so nicely for you, Zagreus. But if you've come to ask me for a song, why, I'm afraid I must stand firm about my answer.",,,
Integrated,Orpheus_,0003,Orpheus_0003,,,,"I'm sorry I've no will for singing, Zagreus.",,,
Integrated,Orpheus_,0004,Orpheus_0004,,,,I feel a bit self-conscious seeing as I must refuse to sing...!,,,
Integrated,Orpheus_,0005,Orpheus_0005,,,,"I remain your humble court musician, Zagreus.",,,
Integrated,Orpheus_,0006,Orpheus_0006,,,,"I'm truly pleased to see you, Zagreus.",,,
Integrated,Orpheus_,0007,Orpheus_0007,,,,"Would that I could aid you in some way, my friend.",,,
Integrated,Orpheus_,0008,Orpheus_0008,,,,It's awfully quiet whilst you're not around. Still rather quiet now!,,,
Integrated,Orpheus_,0009,Orpheus_0009,,,,"Nice speaking with you, Zagreus.",,,
Integrated,Orpheus_,0010,Orpheus_0010,,,,"I'm afraid I haven't much to say on this occasion, Zagreus.",,,
Integrated,Orpheus_,0011,Orpheus_0011,,,,"I hope your day or night I guess is going nicely, Zagreus.",,,
Integrated,Orpheus_,0012,Orpheus_0012,,,,"Please do be careful out there, Zagreus.",,,
Integrated,Orpheus_,0013,Orpheus_0013,,,,I wish I could direct you towards a much more lively court musician.,,,
Integrated,Orpheus_,0014,Orpheus_0014,,,,"Normally I'd offer up a song for such occasions, Zagreus.",,,
Integrated,Orpheus_,0015,Orpheus_0015,,,,"Be strong out there, my friend, OK?",,,
Integrated,Orpheus_,0016,Orpheus_0016,,,,"I'm cheering for you all the way, my friend.",,,
Integrated,Orpheus_,0017,Orpheus_0017,,,,"Good luck to you out in that deadly hellscape, Zagreus.",,,
Integrated,Orpheus_,0018,Orpheus_0018,,,,"Thank you for checking up on me, my friend, although I'm quite all right.",,,
Integrated,Orpheus_,0019,Orpheus_0019,,,,"I'm still fresh out of songs or will to sing them, Zagreus.",,,
Integrated,Orpheus_,0020,Orpheus_0020,,,,"I'd ask if you remember what it's like to feel inspired, my friend, but I don't want to know.",,,
Integrated,Orpheus_,0021,Orpheus_0021,,,,"Oh, hello, Zagreus....",,,
Integrated,Orpheus_,0022,Orpheus_0022,,,,"I thought I'd lost even the gift of music, Zagreus, so, thanks again for helping find that one for me!",,,
Integrated,Orpheus_,0023,Orpheus_0023,,,,"I must say it's nice having some music in my life again, and hopefully in yours!",,,
Integrated,Orpheus_,0024,Orpheus_0024,,,,"We all could use a little song from time to time, isn't that so?",,,
Integrated,Orpheus_,0025,Orpheus_0025,,,,It's nice that I no longer have to live and breathe and can be focused purely on my song...!,,,
Integrated,Orpheus_,0026,Orpheus_0026,,,,"You rescued me from an eternity of not getting to sing, my friend.",,,
Integrated,Orpheus_,0027,Orpheus_0027,,,,"Wishing you a pleasant day or night as ever, my good friend...!",,,
Integrated,Orpheus_,0028,Orpheus_0028,,,,I'm in the middle of a song my friend...!,,,
Integrated,Orpheus_,0029,Orpheus_0029,,,,"I'd best get back to singing, Zagreus.",,,
Integrated,Orpheus_,0030,Orpheus_0030,,,,"Let's talk when I'm not singing, Zagreus?",,,
Integrated,Orpheus_,0031,Orpheus_0031,,,,"Hello, my friend, let's get back to my song?",,,
Integrated,Orpheus_,0032,Orpheus_0032,,,,"I'm kind of singing at the moment, Zagreus.",,,
Integrated,Orpheus_,0033,Orpheus_0033,,,,Terribly sorry I can't speak with you right now.,,,
To Be Integrated,Orpheus_,0034,Orpheus_0034,,,,Perhaps a song would be in order at this time?,,,
To Be Integrated,Orpheus_,0035,Orpheus_0035,,,,Would you be interested in one of my songs?,,,
To Be Integrated,Orpheus_,0036,Orpheus_0036,,,,"What might I do for you, my friend?",,,
To Be Integrated,Orpheus_,0037,Orpheus_0037,,,,Is there a song which you would like to hear?,,,
To Be Integrated,Orpheus_,0038,Orpheus_0038,,,,"How about a little song, is that all right?",,,
To Be Integrated,Orpheus_,0039,Orpheus_0039,,,,"I am your humble court musician, Zagreus.",,,
To Be Integrated,Orpheus_,0040,Orpheus_0040,,,,Things might appear a little brighter with a song...!,,,
To Be Integrated,Orpheus_,0041,Orpheus_0041,,,,OK I like that one.,,,
To Be Integrated,Orpheus_,0042,Orpheus_0042,,,,"Why certainly, of course.",,,
To Be Integrated,Orpheus_,0043,Orpheus_0043,,,,"Why, very well.",,,
To Be Integrated,Orpheus_,0044,Orpheus_0044,,,,"Good, let's begin, my friend!",,,
To Be Integrated,Orpheus_,0045,Orpheus_0045,,,,All right I like that one!,,,
To Be Integrated,Orpheus_,0046,Orpheus_0046,,,,I thought you might say that.,,,
To Be Integrated,Orpheus_,0047,Orpheus_0047,,,,"Once more, then, I suppose?",,,
