"Achilles","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Achilles_","0005","Achilles_0005","","","","嘿，孩子。","","",""
"Integrated","Achilles_","0006","Achilles_0006","","","","你回来了。","","",""
"Integrated","Achilles_","0007","Achilles_0007","","","","你回家了。","","",""
"Integrated","Achilles_","0008","Achilles_0008","","","","能和你谈谈吗，孩子？","","",""
"Integrated","Achilles_","0009","Achilles_0009","","","","欢迎。","","",""
"Darren","Achilles_","0042","Achilles_0042","","","","怎么了，孩子？","","",""
"Darren","Achilles_","0043","Achilles_0043","","","","怎么了，孩子。","","",""
"Darren","Achilles_","0044","Achilles_0044","","","","扎格列欧斯？","","",""
"Darren","Achilles_","0045","Achilles_0045","","","","有什么需要的吗？","","",""
"Darren","Achilles_","0046","Achilles_0046","","","","告诉我我能做点什么。","","",""
"Darren","Achilles_","0047","Achilles_0047","","","","有什么想说的吗。","","",""
"Darren","Achilles_","0048","Achilles_0048","","","","我能为你做点什么？","","",""
"Darren","Achilles_","0049","Achilles_0049","","","","没问题。","","",""
"Darren","Achilles_","0050","Achilles_0050","","","","非常好。","","",""
"Darren","Achilles_","0051","Achilles_0051","","","","干得好。","","",""
"Darren","Achilles_","0052","Achilles_0052","","","","好吧。","","",""
"Darren","Achilles_","0053","Achilles_0053","","","","我也是这么想。","","",""
"Darren","Achilles_","0054","Achilles_0054","","","","我尽力而为。","","",""
"Darren","Achilles_","0055","Achilles_0055","","","","拿去。","","",""
"Darren","Achilles_","0056","Achilles_0056","","","","理所当然。","","",""
"Darren","Achilles_","0057","Achilles_0057","","","","这个可以。","","",""
"Darren","Achilles_","0058","Achilles_0058","","","","没错。","","",""
"Integrated","Achilles_","0059","Achilles_0059","","","","嗯。","","",""
"Integrated","Achilles_","0060","Achilles_0060","","","","保重。","","",""
"Integrated","Achilles_","0061","Achilles_0061","","","","坚强。","","",""
"Integrated","Achilles_","0062","Achilles_0062","","","","王子。","","",""
"Integrated","Achilles_","0063","Achilles_0063","","","","殿下。","","",""
"Darren","Achilles_","0073","Achilles_0073","","","","感谢你的关心，孩子。现在我也要给你一点东西。虽然不是什么宝贝，不过我想它应该能帮助到你。","","",""
"Darren","Achilles_","0074","Achilles_0074","","","","我很荣幸，而我当礼尚往来。扎格列欧斯大人，鲜血之神啊，望汝接受吾这卑微的献礼，愿吾等之友谊延至地久天长。","","",""
"Darren","Achilles_","0079","Achilles_0079","","","","是的，当时是我的疏忽…不过，你生前一定是一位备受尊敬的勇士吧，骷榔头。","","",""
"Integrated","Achilles_","0114","Achilles_0114","","","","我觉得你父亲现在没心情谈条件。我和普特洛克勒斯是因为一时的冲动才导致现在的结果。所以现在我要你耐心等待。谢谢你带给我他的消息。如果有机会的话，和他多聊聊吧，好吗？","","",""
"Integrated","Achilles_","0121","Achilles_0121","","","","太好了。真是好消息。","","",""
"Integrated","Achilles_","0125","Achilles_0125","","","","当然了，孩子。","","",""
"Integrated","Achilles_","0129","Achilles_0129","","","","既然你这么说... 我做不到啊。","","",""
"Integrated","Achilles_","0162","Achilles_0162","","","","王子，有空聊一聊吗？","","",""
"Integrated","Achilles_","0163","Achilles_0163","","","","殿下，来这里一下。","","",""
"Integrated","Achilles_","0164","Achilles_0164","","","","殿下你来了。","","",""
"Darren","Achilles_","0165","Achilles_0165","","","","让我们简单聊几句吧，王子。","","",""
"Integrated","Achilles_","0184","Achilles_0184","","","","我建议你快点过去，小伙子……","","",""
"Integrated","Achilles_","0187","Achilles_0187","","","","这个地方可不能进，小伙子。","","",""
"Integrated","Achilles_","0188","Achilles_0188","","","","恐怕这里还不能进。","","",""
"Integrated","Achilles_","0189","Achilles_0189","","","","你也清楚你父亲定下来的规矩。","","",""
"Integrated","Achilles_","0190","Achilles_0190","","","","拜托了，小伙子。","","",""
"Integrated","Achilles_","0191","Achilles_0191","","","","这地方不是无缘无故被锁起来的，小伙子。","","",""
"Integrated","Achilles_","0192","Achilles_0192","","","","那边不能进。","","",""
"Integrated","Achilles_","0193","Achilles_0193","","","","是圣殿的规矩，小伙子。","","",""
"Integrated","Achilles_","0194","Achilles_0194","","","","那扇门不能打开。","","",""
"Integrated","Achilles_","0195","Achilles_0195","","","","再怎么试也没用，小伙子。","","",""
"Integrated","Achilles_","0196","Achilles_0196","","","","那扇门是打不开的，小伙子。","","",""
"Integrated","Achilles_","0214","Achilles_0214","","","","谢谢你。","","",""
"Integrated","Achilles_","0222","Achilles_0222","","","","看看是谁来了。","","",""
"Integrated","Achilles_","0223","Achilles_0223","","","","哈，哈哈。","","",""
"Integrated","Achilles_","0224","Achilles_0224","","","","你好啊，小伙子。","","",""
"Integrated","Achilles_","0225","Achilles_0225","","","","你看，小普。","","",""
"Integrated","Achilles_","0226","Achilles_0226","","","","有客人来了。","","",""
"Integrated","Achilles_","0227","Achilles_0227","","","","啊，是你来了。","","",""
"Integrated","Achilles_","0228","Achilles_0228","","","","你还好吗，小伙子？","","",""
"Integrated","Achilles_","0229","Achilles_0229","","","","你一路赶到这里了，是嘛。","","",""
"Integrated","Achilles_","0230","Achilles_0230","","","","继续努力吧。","","",""
"Integrated","Achilles_","0231","Achilles_0231","","","","再见了。","","",""
"Integrated","Achilles_","0232","Achilles_0232","","","","再见了，小伙子。","","",""
"Integrated","Achilles_","0233","Achilles_0233","","","","后会有期。","","",""
"Integrated","Achilles_","0234","Achilles_0234","","","","像我一样去外面战斗吧。","","",""
"Integrated","Achilles_","0235","Achilles_0235","","","","祝你一帆风顺。","","",""
"Integrated","Achilles_","0236","Achilles_0236","","","","恐惧是弱者的专利。","","",""
"Integrated","Achilles_","0237","Achilles_0237","","","","好吧，再见。","","",""
"Integrated","Achilles_","0238","Achilles_0238","","","","来吧，小伙子。","","",""
"Integrated","Achilles_","0239","Achilles_0239","","","","我现在没心情陪练，小伙子。","","",""
"Integrated","Achilles_","0240","Achilles_0240","","","","现在不行，小伙子。","","",""
"Integrated","Achilles_","0241","Achilles_0241","","","","我觉得我已经打够了。","","",""
"Integrated","Achilles_","0242","Achilles_0242","","","","趁着有空的时候休息休息吧。","","",""
"Integrated","Achilles_","0243","Achilles_0243","","","","我不是来和你打架的，小伙子。","","",""
"Integrated","Achilles_","0244","Achilles_0244","","","","呵。","","",""
"Integrated","Achilles_","0245","Achilles_0245","","","","呃。","","",""
"Integrated","Achilles_","0246","Achilles_0246","","","","不用了，谢谢。","","",""
"Integrated","Achilles_","0251","Achilles_0251","","","","好的，大人，谢谢。","","",""
"Integrated","Achilles_","0253","Achilles_0253","","","","当然没问题，夫人，愿意听从您的差遣。","","",""
"Integrated","Achilles_","0260","Achilles_0260","","","","……后来，那个固执的吹牛大王命令我去做那件事的时候，我发誓……","","",""
"Integrated","Achilles_","0261","Achilles_0261","","","","完全正确，一点都没错！","","",""
"Integrated","Achilles_","0262","Achilles_0262","","","","好吧，我猜你说得没错。","","",""
"Integrated","Achilles_","0263","Achilles_0263","","","","哦，加把劲儿，你可不是只有这点能耐。","","",""
"Integrated","Achilles_","0264","Achilles_0264","","","","确实如此，你说得没错。","","",""
"Integrated","Achilles_","0265","Achilles_0265","","","","你说得没错！","","",""
"Integrated","Achilles_","0266","Achilles_0266","","","","是啊。","","",""
"Integrated","Achilles_","0267","Achilles_0267","","","","啊，没错。","","",""
"Integrated","Achilles_","0268","Achilles_0268","","","","确实如此！","","",""
"Integrated","Achilles_","0269","Achilles_0269","","","","我相信是这样！","","",""
"Integrated","Achilles_","0272","Achilles_0272","","","","来了！","","",""
"Integrated","Achilles_","0273","Achilles_0273","","","","马上就到！","","",""
"Integrated","Achilles_","0274","Achilles_0274","","","","准备好了！","","",""
"Integrated","Achilles_","0275","Achilles_0275","","","","我们听到你的呼唤了！","","",""
"Integrated","Achilles_","0276","Achilles_0276","","","","我们听到你的呼唤了，小伙子！","","",""
"Integrated","Achilles_","0277","Achilles_0277","","","","没问题，小伙子！","","",""
"Integrated","Achilles_","0278","Achilles_0278","","","","我们马上就到！","","",""
"Integrated","Achilles_","0279","Achilles_0279","","","","马上就到！","","",""
"Integrated","Achilles_","0280","Achilles_0280","","","","坚持住，小伙子！","","",""
"Integrated","Achilles_","0281","Achilles_0281","","","","马上就好了。","","",""
"Integrated","Achilles_","0282","Achilles_0282","","","","普特洛克勒斯！","","",""
"Integrated","Achilles_","0283","Achilles_0283","","","","就是现在，普特洛克勒斯！","","",""
"Integrated","Achilles_","0284","Achilles_0284","","","","我们上吧，小普！","","",""
"Integrated","Achilles_","0285","Achilles_0285","","","","动手吧，小普！","","",""
"Integrated","Achilles_","0286","Achilles_0286","","","","我们上！","","",""
"Integrated","Achilles_","0287","Achilles_0287","","","","就是现在！","","",""
"Integrated","Achilles_","0288","Achilles_0288","","","","杀啊！","","",""
"Integrated","Achilles_","0289","Achilles_0289","","","","勇往直前！","","",""
"Integrated","Achilles_","0290","Achilles_0290","","","","一起来吗？","","",""
"Integrated","Achilles_","0291","Achilles_0291","","","","上吧，小普！","","",""
"Integrated","Achilles_","0292","Achilles_0292","","","","做好准备！","","",""
"Integrated","Achilles_","0293","Achilles_0293","","","","是阿斯忒里俄斯！","","",""
"Integrated","Achilles_","0294","Achilles_0294","","","","是米诺斯的公牛！","","",""
"Integrated","Achilles_","0295","Achilles_0295","","","","怎么，那不是最强战士嘛！","","",""
"Integrated","Achilles_","0296","Achilles_0296","","","","是忒修斯在惹你的麻烦吗，小伙子？","","",""
"Integrated","Achilles_","0297","Achilles_0297","","","","是时候夺走他的冠军宝座了。","","",""
"Integrated","Achilles_","0298","Achilles_0298","","","","我们上吧。","","",""
"Integrated","Achilles_","0299","Achilles_0299","","","","继续战斗！","","",""
"Integrated","Achilles_","0300","Achilles_0300","","","","再加把劲，小伙子！","","",""
"Integrated","Achilles_","0301","Achilles_0301","","","","就是这样！","","",""
"Integrated","Achilles_","0302","Achilles_0302","","","","干掉他吧！","","",""
"Integrated","Achilles_","0303","Achilles_0303","","","","我们回来了！","","",""
"Integrated","Achilles_","0304","Achilles_0304","","","","我们就在你身后，小伙子。","","",""
"Integrated","Achilles_","0305","Achilles_0305","","","","那就再来一次！","","",""
"Integrated","Achilles_","0325","Achilles_0325","","","","找到你要的了吗？","","",""
"Integrated","Achilles_","0332","Achilles_0332","","","","你也是，再见了。","","",""
"Integrated","Achilles_","0338","Achilles_0338","","","","你真是太仁慈了，暗夜之母。","","",""
