"Demeter","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Demeter_","84","Demeter_0084","","","","你手上这支丰饶角神力已经溢出。不过现在还有些残留的力量。但千万别让它再落到凡人手里。","","",""
"Integrated","Demeter_","123","Demeter_0123","","","","寒冬已至！","","",""
"Integrated","Demeter_","124","Demeter_0124","","","","万物凋零！","","","Special Render"
"Integrated","Demeter_","125","Demeter_0125","","","","一切都将枯萎！","","","Special Render"
"Integrated","Demeter_","126","Demeter_0126","","","","在冰冻中灭亡！","","","Special Render"
"Integrated","Demeter_","127","Demeter_0127","","","","我要赶尽杀绝！","","","Special Render"
"Integrated","Demeter_","128","Demeter_0128","","","","一个不留！","","","Special Render"
"Integrated","Demeter_","129","Demeter_0129","","","","严寒之下，无人幸免！","","","Special Render"
"Integrated","Demeter_","130","Demeter_0130","","","","现在才来摇尾乞怜？！","","","Special Render"
"Integrated","Demeter_","131","Demeter_0131","","","","像孩子般厚颜无耻！","","","Special Render"
"Integrated","Demeter_","132","Demeter_0132","","","","冻得你皮开肉烂，与我又有何干！","","","Special Render"
"Integrated","Demeter_","133","Demeter_0133","","","","对我不敬，难逃法眼。","","",""
"Integrated","Demeter_","134","Demeter_0134","","","","千万不要冒犯我，小宝宝。","","",""
"Integrated","Demeter_","135","Demeter_0135","","","","下次要记得尊重长辈，扎格列欧斯。","","",""
"Darren","Demeter_","136","Demeter_0136","","","","你手中的瓦拉塔似乎是霜冻冰剑的形态！真没想到，过了这么久还能见到它。好好驾驭它的神力吧，扎格列欧斯，它很快就会离你而去的。","","",""
"Integrated","Demeter_","163","Demeter_0163","","","","你好啊，我的小朋友。","","",""
"Integrated","Demeter_","164","Demeter_0164","","","","你好，扎格列欧斯。","","",""
"Integrated","Demeter_","165","Demeter_0165","","","","你好，小扎格列欧斯。","","",""
"Darren","Demeter_","166","Demeter_0166","","","","最近还暖和吧，小扎格列欧斯？","","",""
"Integrated","Demeter_","167","Demeter_0167","","","","为你送上来自冬天的问候，扎格列欧斯。","","",""
"Darren","Demeter_","168","Demeter_0168","","","","应该没问题。","","",""
"Darren","Demeter_","169","Demeter_0169","","","","没问题，小朋友。","","",""
"Darren","Demeter_","170","Demeter_0170","","","","噢，很好。","","",""
"Integrated","Demeter_","171","Demeter_0171","","","","啊，当然可以。","","",""
"Darren","Demeter_","172","Demeter_0172","","","","行，好的。","","",""
"Integrated","Demeter_","173","Demeter_0173","","","","我很感激，扎格列欧斯。","","",""
"Integrated","Demeter_","174","Demeter_0174","","","","真是要谢谢你。","","",""
"Integrated","Demeter_","175","Demeter_0175","","","","你真是太贴心了，扎格列欧斯。","","",""
"Integrated","Demeter_","176","Demeter_0176","","","","哦，谢谢你，小朋友。","","",""
"Darren","Demeter_","177","Demeter_0177","","","","我有件东西要给你，小朋友。","","",""
"Darren","Demeter_","178","Demeter_0178","","","","我要送你一件礼物，小扎格列欧斯。","","",""
"Darren","Demeter_","179","Demeter_0179","","","","那只是一时疏忽。","","",""
"Darren","Demeter_","180","Demeter_0180","","","","这样做肯定是不对的，扎格列欧斯。","","",""
"Darren","Demeter_","181","Demeter_0181","","","","判断失误了，小朋友。","","",""
"Darren","Demeter_","182","Demeter_0182","","","","千万不要挑战我的耐心，小朋友。","","",""
"Darren","Demeter_","183","Demeter_0183","","","","这是非常愚昧的做法。","","",""
"Darren","Demeter_","184","Demeter_0184","","","","你真是气死我了。","","",""
"Darren","Demeter_","185","Demeter_0185","","","","你快走吧，小扎格列欧斯。","","",""
"Darren","Demeter_","186","Demeter_0186","","","","我不感兴趣，小朋友。","","",""
"Integrated","Demeter_","187","Demeter_0187","","","","不是吧？","","",""
"Darren","Demeter_","188","Demeter_0188","","","","简直不敢相信。","","",""
"Integrated","Demeter_","189","Demeter_0189","","","","真的吗？","","",""
"Integrated","Demeter_","190","Demeter_0190","","","","干得好，我的小朋友。","","",""
"Darren","Demeter_","191","Demeter_0191","","","","真为你感到骄傲，我的小扎格列欧斯。","","",""
"Darren","Demeter_","192","Demeter_0192","","","","不会是这样吧。","","",""
"Darren","Demeter_","193","Demeter_0193","","","","这到底是怎么回事？","","",""
"Darren","Demeter_","194","Demeter_0194","","","","我不知道该说什么好了，扎格列欧斯！","","",""
"Darren","Demeter_","195","Demeter_0195","","","","","","",""
"Integrated","Demeter_","196","Demeter_0196","","","","","","",""
"Integrated","Demeter_","197","Demeter_0197","","","","","","",""
"Integrated","Demeter_","198","Demeter_0198","","","","","","",""
"Integrated","Demeter_","199","Demeter_0199","","","","","","",""
"Darren","Demeter_","200","Demeter_0200","","","","","","",""
"Integrated","Demeter_","201","Demeter_0201","","","","","","",""
"Integrated","Demeter_","202","Demeter_0202","","","","","","",""
"Integrated","Demeter_","203","Demeter_0203","","","","","","",""
"Integrated","Demeter_","204","Demeter_0204","","","","","","",""
"Integrated","Demeter_","205","Demeter_0205","","","","","","",""
"Integrated","Demeter_","206","Demeter_0206","","","","","","",""
"Integrated","Demeter_","207","Demeter_0207","","","","","","",""
"Integrated","Demeter_","208","Demeter_0208","","","","","","",""
"Integrated","Demeter_","209","Demeter_0209","","","","","","",""
"Integrated","Demeter_","210","Demeter_0210","","","","","","",""
"Integrated","Demeter_","211","Demeter_0211","","","","","","",""
"Integrated","Demeter_","212","Demeter_0212","","","","","","",""
"Darren","Demeter_","213","Demeter_0213","","","","","","",""
"Integrated","Demeter_","214","Demeter_0214","","","","","","",""
"Integrated","Demeter_","215","Demeter_0215","","","","","","",""
"Darren","Demeter_","216","Demeter_0216","","","","","","",""
"Darren","Demeter_","217","Demeter_0217","","","","","","",""
"Darren","Demeter_","218","Demeter_0218","","","","","","",""
"Darren","Demeter_","219","Demeter_0219","","","","","","",""
"Darren","Demeter_","220","Demeter_0220","","","","","","",""
"Darren","Demeter_","221","Demeter_0221","","","","","","",""
"Integrated","Demeter_","222","Demeter_0222","","","","","","",""
"Integrated","Demeter_","223","Demeter_0223","","","","","","",""
"Integrated","Demeter_","224","Demeter_0224","","","","","","",""
"Integrated","Demeter_","225","Demeter_0225","","","","","","",""
"Integrated","Demeter_","226","Demeter_0226","","","","","","",""
"Integrated","Demeter_","227","Demeter_0227","","","","","","",""
"Integrated","Demeter_","228","Demeter_0228","","","","","","",""
"Integrated","Demeter_","229","Demeter_0229","","","","","","",""
"Greg","Demeter_","230","Demeter_0230","","","","严冬收割！","","",""
"Integrated","Demeter_","231","Demeter_0231","","","","一分耕耘，一分收获！","","",""
"Integrated","Demeter_","232","Demeter_0232","","","","枯萎吧！凋零吧！","","",""
"Integrated","Demeter_","233","Demeter_0233","","","","收割的时候到了！","","",""
"Greg","Demeter_","234","Demeter_0234","","","","","","",""
"Greg","Demeter_","235","Demeter_0235","","","","","","",""
"Greg","Demeter_","236","Demeter_0236","","","","","","",""
"Greg","Demeter_","237","Demeter_0237","","","","","","",""
"Greg","Demeter_","238","Demeter_0238","","","","","","",""
"Greg","Demeter_","239","Demeter_0239","","","","","","",""
"Greg","Demeter_","240","Demeter_0240","","","","","","",""
"Greg","Demeter_","241","Demeter_0241","","","","","","",""
"Greg","Demeter_","242","Demeter_0242","","","","","","",""
"Greg","Demeter_","243","Demeter_0243","","","","","","",""
"Greg","Demeter_","244","Demeter_0244","","","","","","",""
"Greg","Demeter_","245","Demeter_0245","","","","","","",""
"Greg","Demeter_","246","Demeter_0246","","","","","","",""
