"Dionysus","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Dionysus_","0060","Dionysus_0060","","","噢噢噢噢扎格你又来了，除了举杯感谢我还能说什么呢，来吧，这是我给你的礼物！","","",""
"Darren","Dionysus_","0061","Dionysus_0061","","","兄弟，我跟你说过没，你品味真不错。当然我也一样，我很喜欢你的贡品，所以你也一定喜欢这个！","","",""
"Integrated","Dionysus_","0062","Dionysus_0062","","","你敢跟我们作对？！","","",""
"Integrated","Dionysus_","0063","Dionysus_0063","","","来，这个我请！！","","",""
"Integrated","Dionysus_","0064","Dionysus_0064","","","一口闷了，兄弟！！","","",""
"Darren","Dionysus_","0067","Dionysus_0067","","","嘿，扎格！","","",""
"Integrated","Dionysus_","0068","Dionysus_0068","","","你好兄弟，最近怎么样？","","",""
"Integrated","Dionysus_","0069","Dionysus_0069","","","你没事儿呢？","","",""
"Integrated","Dionysus_","0070","Dionysus_0070","","","你还活着呢，兄弟？","","",""
"Darren","Dionysus_","0071","Dionysus_0071","","","是我，扎格，你好啊！","","",""
"Darren","Dionysus_","0072","Dionysus_0072","","","当然了！","","",""
"Darren","Dionysus_","0073","Dionysus_0073","","","我觉得可以，扎格。","","",""
"Integrated","Dionysus_","0074","Dionysus_0074","","","没问题，兄弟！","","",""
"Integrated","Dionysus_","0075","Dionysus_0075","","","当然可以！","","",""
"Integrated","Dionysus_","0076","Dionysus_0076","","","噢耶我喜欢！","","",""
"Integrated","Dionysus_","0077","Dionysus_0077","","","干杯，兄弟！","","",""
"Integrated","Dionysus_","0078","Dionysus_0078","","","什么，给我的，扎格？哇哦…！","","",""
"Integrated","Dionysus_","0079","Dionysus_0079","","","这下才像样，耶！","","",""
"Integrated","Dionysus_","0080","Dionysus_0080","","","无法拒绝！","","",""
"Integrated","Dionysus_","0081","Dionysus_0081","","","我欠你的兄弟！","","",""
"Integrated","Dionysus_","0082","Dionysus_0082","","","干杯，我收下了！","","",""
"Integrated","Dionysus_","0083","Dionysus_0083","","","噢耶这个我喜欢！","","",""
"Integrated","Dionysus_","0084","Dionysus_0084","","","来，这个给你！","","",""
"Darren","Dionysus_","0085","Dionysus_0085","","","拿着，别客气！","","",""
"Integrated","Dionysus_","0086","Dionysus_0086","","","这个是专门给你的！","","",""
"Darren","Dionysus_","0087","Dionysus_0087","","","给你看看这个！","","",""
"Darren","Dionysus_","0088","Dionysus_0088","","","给你这个！","","",""
"Darren","Dionysus_","0089","Dionysus_0089","","","呃这跟我想象的不太一样。","","",""
"Integrated","Dionysus_","0090","Dionysus_0090","","","我还能说什么呢，兄弟，挺可惜的。","","",""
"Integrated","Dionysus_","0091","Dionysus_0091","","","很失望，兄弟。","","",""
"Darren","Dionysus_","0092","Dionysus_0092","","","干得好，扎格。","","",""
"Integrated","Dionysus_","0093","Dionysus_0093","","","太可惜了。","","",""
"Darren","Dionysus_","0094","Dionysus_0094","","","怎么回事，兄弟？","","",""
"Darren","Dionysus_","0095","Dionysus_0095","","","少吹牛了扎格。","","",""
"Darren","Dionysus_","0096","Dionysus_0096","","","你可不能像这样。","","",""
"Integrated","Dionysus_","0097","Dionysus_0097","","","别闹了，兄弟。","","",""
"Darren","Dionysus_","0098","Dionysus_0098","","","扎格，你这样就不对了。","","",""
"Integrated","Dionysus_","0099","Dionysus_0099","","","你认真的吗？","","",""
"Integrated","Dionysus_","0100","Dionysus_0100","","","你开玩笑呢？","","",""
"Integrated","Dionysus_","0101","Dionysus_0101","","","不敢相信。","","",""
"Darren","Dionysus_","0102","Dionysus_0102","","","我要一个人静一静。","","",""
"Darren","Dionysus_","0103","Dionysus_0103","","","让我一个人呆着。","","",""
"Darren","Dionysus_","0104","Dionysus_0104","","","你好烦啊兄弟。","","",""
"Darren","Dionysus_","0105","Dionysus_0105","","","不敢相信！","","",""
"Darren","Dionysus_","0106","Dionysus_0106","","","哇什么？","","",""
"Darren","Dionysus_","0107","Dionysus_0107","","","好神奇噢…！","","",""
"Darren","Dionysus_","0108","Dionysus_0108","","","真的吗兄弟？","","",""
"Integrated","Dionysus_","0109","Dionysus_0109","","","哇真的吗？","","",""
"Darren","Dionysus_","0110","Dionysus_0110","","","干得好，扎格！","","",""
"Darren","Dionysus_","0111","Dionysus_0111","","","我就知道你能行兄弟！","","",""
"Darren","Dionysus_","0112","Dionysus_0112","","","你做得真不错！","","",""
"Darren","Dionysus_","0113","Dionysus_0113","","","干得漂亮，扎格！","","",""
"Darren","Dionysus_","0114","Dionysus_0114","","","你真的很不错！","","",""
"Integrated","Dionysus_","0118","Dionysus_0118","","","","","",""
"Integrated","Dionysus_","0119","Dionysus_0119","","","","","",""
"Integrated","Dionysus_","0120","Dionysus_0120","","","","","",""
"Integrated","Dionysus_","0121","Dionysus_0121","","","","","",""
"Integrated","Dionysus_","0122","Dionysus_0122","","","","","",""
"Integrated","Dionysus_","0123","Dionysus_0123","","","","","",""
"Integrated","Dionysus_","0124","Dionysus_0124","","","","","",""
"Integrated","Dionysus_","0125","Dionysus_0125","","","","","",""
"Integrated","Dionysus_","0126","Dionysus_0126","","","","","",""
"Integrated","Dionysus_","0127","Dionysus_0127","","","","","",""
"Integrated","Dionysus_","0128","Dionysus_0128","","","","","",""
"Integrated","Dionysus_","0129","Dionysus_0129","","","","","",""
"Integrated","Dionysus_","0130","Dionysus_0130","","","","","",""
"Integrated","Dionysus_","0131","Dionysus_0131","","","","","",""
"Integrated","Dionysus_","0132","Dionysus_0132","","","","","",""
"Integrated","Dionysus_","0148","Dionysus_0148","","","盛宴、隆重开始！","","",""
"Integrated","Dionysus_","0149","Dionysus_0149","","","神神有份！","","",""
"Integrated","Dionysus_","0150","Dionysus_0150","","","有型啊兄弟！","","",""
"Integrated","Dionysus_","0171","Dionysus_0171","","","哈哈哈，你说得太对啦，兄弟！","","",""
"Integrated","Dionysus_","0172","Dionysus_0172","","","哦，我们今晚要来场盛宴才行！","","",""
"Integrated","Dionysus_","0173","Dionysus_0173","","","哎哟，你可真是有大麻烦了啊，扎格！","","",""
"Integrated","Dionysus_","0174","Dionysus_0174","","","没——错，兄弟！你知道是怎么回事！","","",""
"Integrated","Dionysus_","0175","Dionysus_0175","","","哈哈哈，那敬你一杯吧，兄弟！","","",""
"Integrated","Dionysus_","0176","Dionysus_0176","","","这可真是个明智的决定啊，兄弟！","","",""
"Integrated","Dionysus_","0177","Dionysus_0177","","","事情没必要闹成那个样子，我们之前明明相处得很好！","","",""
