"Dusa","ID","ID","ID","","","","Line","","","Notes by DK"
"Darren","Dusa_","0024","Dusa_0024","","","","有……有什么需要帮忙的吗？","","",""
"Darren","Dusa_","0025","Dusa_0025","","","","我……我能帮到忙吗？","","",""
"Darren","Dusa_","0026","Dusa_0026","","","","殿……殿下，有何吩咐？","","",""
"Darren","Dusa_","0027","Dusa_0027","","","","有……有什么可以为您效劳吗，王子？","","",""
"Darren","Dusa_","0028","Dusa_0028","","","","嗨……呃……你好，王子殿下！","","",""
"Darren","Dusa_","0029","Dusa_0029","","","","噢……呃……对，没错！","","",""
"Darren","Dusa_","0031","Dusa_0031","","","","马……马上！","","",""
"Darren","Dusa_","0032","Dusa_0032","","","","包在我身上！","","",""
"Darren","Dusa_","0033","Dusa_0033","","","","什么……噢……没问题！","","",""
"Darren","Dusa_","0034","Dusa_0034","","","","您……您放心，包在我身上！","","",""
"Darren","Dusa_","0035","Dusa_0035","","","","马上照办，王子！！","","",""
"Darren","Dusa_","0036","Dusa_0036","","","","那……呃……没什么问题吧？","","",""
"Darren","Dusa_","0037","Dusa_0037","","","","当然了，没错！","","",""
"Darren","Dusa_","0038","Dusa_0038","","","","马上去办，王子……！","","",""
"Unused","Dusa_","0047","Dusa_0047","","","","呃……嗯……王子，太好了，真的，我在想我是不是也该回个礼……？","","",""
"Unused","Dusa_","0048","Dusa_0048","","","","啊……哇……殿下……我太高兴了，真的，我也希望您能收下我送您的礼物……","","",""
"Integrated","Dusa_","0049","Dusa_0049","","","","哎呀！","","",""
"Integrated","Dusa_","0050","Dusa_0050","","","","啊！","","",""
"Integrated","Dusa_","0051","Dusa_0051","","","","他来了！","","",""
"Integrated","Dusa_","0052","Dusa_0052","","","","殿……殿下！","","",""
"Integrated","Dusa_","0053","Dusa_0053","","","","<气喘吁吁>","","",""
"Integrated","Dusa_","0054","Dusa_0054","","","","呃……哦！","","",""
"Integrated","Dusa_","0055","Dusa_0055","","","","噢！","","",""
"Integrated","Dusa_","0056","Dusa_0056","","","","什么……？","","",""
"Integrated","Dusa_","0057","Dusa_0057","","","","嘿……嗨！","","",""
"Integrated","Dusa_","0058","Dusa_0058","","","","再……再见！","","",""
"Integrated","Dusa_","0059","Dusa_0059","","","","哈……哈哈！","","",""
"Integrated","Dusa_","0060","Dusa_0060","","","","哈……哈哈……！","","",""
"Integrated","Dusa_","0061","Dusa_0061","","","","哈……哈哈……","","",""
"Integrated","Dusa_","0106","Dusa_0106","","","","噢，嗨！","","",""
"Integrated","Dusa_","0107","Dusa_0107","","","","好呀！","","",""
