"Minotaur","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Unused","Minotaur_","0068","Minotaur_0068","","","","你很强，小矮个。跟我一样莽。","","",""
"Darren","Minotaur_","0072","Minotaur_0072","","","","如果忒修斯你觉得没错，那我也一样。我来碾碎他。<鼻息声> 我已经很长时间没有碾碎什么人了。","","",""
"Darren","Minotaur_","0073","Minotaur_0073","","","","注意你的言辞，小矮个。<鼻息声>你面前的是牛头人杀手，雅典最伟大的王，忒修斯！而你身处离家千万里的至福乐土。","","",""
"Darren","Minotaur_","0074","Minotaur_0074","","","","说够了，忒修斯。你这是在给他进攻的机会，而我本可以立刻将他拿下！只要你发令，我马上就碾碎了他。<鼻息声>","","",""
"Darren","Minotaur_","0075","Minotaur_0075","","","","能帮上您是我的荣幸，我的王。","","",""
"Darren","Minotaur_","0076","Minotaur_0076","","","","好。现在让我们把他给碾碎吧，一起上，我的王。","","",""
"Integrated","Minotaur_","0081","Minotaur_0081","","","","呃啊。够了！","","",""
"Integrated","Minotaur_","0082","Minotaur_0082","","","","呃。够了。","","",""
"Integrated","Minotaur_","0083","Minotaur_0083","","","","唔。够了…","","",""
"Integrated","Minotaur_","0084","Minotaur_0084","","","","啊。够了，小矮个。","","",""
"Integrated","Minotaur_","0085","Minotaur_0085","","","","哼。别打了！","","",""
"Integrated","Minotaur_","0086","Minotaur_0086","","","","嗯。住手！","","",""
"Integrated","Minotaur_","0087","Minotaur_0087","","","","呃。停下！","","",""
"Integrated","Minotaur_","0088","Minotaur_0088","","","","咳。我认输。","","",""
"Integrated","Minotaur_","0089","Minotaur_0089","","","","啊。干得不错！","","",""
"Integrated","Minotaur_","0090","Minotaur_0090","","","","嗯。干得不错。","","",""
"Integrated","Minotaur_","0091","Minotaur_0091","","","","唔。够了！打得不错。","","",""
"Integrated","Minotaur_","0092","Minotaur_0092","","","","呃啊。够了。你赢了。","","",""
"Integrated","Minotaur_","0093","Minotaur_0093","","","","呃。够了…我认输。","","",""
"Integrated","Minotaur_","0094","Minotaur_0094","","","","啊。够了，小矮个。 ","","",""
"Integrated","Minotaur_","0095","Minotaur_0095","","","","哼。别打了！我认输。","","",""
"Integrated","Minotaur_","0096","Minotaur_0096","","","","呃啊。住手！我投降。","","",""
"Integrated","Minotaur_","0097","Minotaur_0097","","","","咳。停下！我认输。","","",""
"Integrated","Minotaur_","0098","Minotaur_0098","","","","啊。打得不错！我投降。","","",""
"Integrated","Minotaur_","0104","Minotaur_0104","","","","准备好。","","",""
"Integrated","Minotaur_","0105","Minotaur_0105","","","","准备好。","","",""
"Integrated","Minotaur_","0106","Minotaur_0106","","","","现在，小矮个…","","",""
"Integrated","Minotaur_","0107","Minotaur_0107","","","","我要打败你。","","",""
"Integrated","Minotaur_","0108","Minotaur_0108","","","","你可注意了。","","",""
"Integrated","Minotaur_","0109","Minotaur_0109","","","","当心。","","",""
"Integrated","Minotaur_","0110","Minotaur_0110","","","","愤怒…","","",""
"Integrated","Minotaur_","0111","Minotaur_0111","","","","现在…","","",""
"Integrated","Minotaur_","0112","Minotaur_0112","","","","跑吧。","","",""
"Integrated","Minotaur_","0113","Minotaur_0113","","","","<鼻息声><鼻息声>","","",""
"Integrated","Minotaur_","0114","Minotaur_0114","","","","哦啊啊啊啊啊啊…","","",""
"Integrated","Minotaur_","0115","Minotaur_0115","","","","呃啊啊啊啊啊…","","",""
"Integrated","Minotaur_","0116","Minotaur_0116","","","","我的王！","","",""
"Integrated","Minotaur_","0117","Minotaur_0117","","","","忒修斯！","","",""
"Integrated","Minotaur_","0118","Minotaur_0118","","","","这里！","","",""
"Integrated","Minotaur_","0119","Minotaur_0119","","","","这里，我的王！","","",""
"Integrated","Minotaur_","0120","Minotaur_0120","","","","现在！","","",""
"Integrated","Minotaur_","0121","Minotaur_0121","","","","就是现在，我的王！","","",""
"Integrated","Minotaur_","0122","Minotaur_0122","","","","一起上！","","",""
"Integrated","Minotaur_","0123","Minotaur_0123","","","","准备！","","",""
"Integrated","Minotaur_","0124","Minotaur_0124","","","","好了吗，我的王？","","",""
"Integrated","Minotaur_","0125","Minotaur_0125","","","","给他点颜色！","","",""
"Integrated","Minotaur_","0126","Minotaur_0126","","","","抓住他！","","",""
"Integrated","Minotaur_","0127","Minotaur_0127","","","","干掉他！","","",""
"Darren","Minotaur_","0128","Minotaur_0128","","","","好，我的王！","","",""
"Darren","Minotaur_","0129","Minotaur_0129","","","","好！","","",""
"Darren","Minotaur_","0130","Minotaur_0130","","","","我会的。","","",""
"Darren","Minotaur_","0131","Minotaur_0131","","","","马上。","","",""
"Darren","Minotaur_","0132","Minotaur_0132","","","","立刻。","","",""
"Darren","Minotaur_","0133","Minotaur_0133","","","","我明白。","","",""
"Darren","Minotaur_","0134","Minotaur_0134","","","","了解。","","",""
"Darren","Minotaur_","0135","Minotaur_0135","","","","没问题。","","",""
"Darren","Minotaur_","0136","Minotaur_0136","","","","如你所愿。","","",""
"Darren","Minotaur_","0137","Minotaur_0137","","","","听你指挥。","","",""
"Darren","Minotaur_","0138","Minotaur_0138","","","","公平战斗到此为止了。","","",""
"Darren","Minotaur_","0139","Minotaur_0139","","","","这些都是从哪里来的？","","",""
