"Nyx","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Nyx_","0028","Nyx_0028","Inquiry Greetings","As though she's getting a call from a grandkid -- she'll drop whatever she's doing to help.","","需要帮助吗，孩子？","","",""
"Integrated","Nyx_","0029","Nyx_0029","","","","要我帮助你吗，孩子？","","",""
"Integrated","Nyx_","0030","Nyx_0030","","","","有什么事情我能帮助你吗，我的孩子？","","",""
"Integrated","Nyx_","0031","Nyx_0031","","","","有什么问题吗，孩子？","","",""
"Darren","Nyx_","0033","Nyx_0033","","","","我能帮助你吗，我的孩子？","","",""
"Darren","Nyx_","0034","Nyx_0034","","","","我可以帮你减轻负担吗，孩子？","","",""
"Darren","Nyx_","0035","Nyx_0035","","","","可以了，孩子。","","",""
"Darren","Nyx_","0036","Nyx_0036","","","","可以。","","",""
"Darren","Nyx_","0037","Nyx_0037","","","","如你所愿，我的孩子。","","",""
"Integrated","Nyx_","0038","Nyx_0038","","","","能帮忙我很高兴。","","",""
"Integrated","Nyx_","0040","Nyx_0040","","","","满足你的愿望，我的孩子。","","",""
"Darren","Nyx_","0041","Nyx_0041","","","","你的愿望已达成，孩子。","","",""
"Darren","Nyx_","0042","Nyx_0042","","","","很好，我的孩子。","","",""
"Darren","Nyx_","0043","Nyx_0043","","","","我知道了，孩子。","","",""
"Darren","Nyx_","0044","Nyx_0044","","","","没问题，我的孩子。","","",""
"Integrated","Nyx_","0049","Nyx_0049","","","","收下这样美丽的礼物是要回礼的，孩子。我希望你一定要收下我爱的象征。","","",""
"Darren","Nyx_","0050","Nyx_0050","","","","是给我的贡品吗，我亲爱的孩子？这样的话，我也要准备一下回礼了。感谢你，希望你可以收下这个。","","",""
"Darren","Nyx_","0051","Nyx_0051","","","","我没法平白无故接受如此慷慨的贡品，亲爱的孩子。除非你也接受我这小小的礼物。","","",""
"Integrated","Nyx_","0052","Nyx_0052","","","","嗯。","","",""
"Integrated","Nyx_","0053","Nyx_0053","","","","哈哈。","","",""
"Integrated","Nyx_","0054","Nyx_0054","","","","你回来了。","","",""
"Integrated","Nyx_","0055","Nyx_0055","","","","你回家了。","","",""
"Integrated","Nyx_","0056","Nyx_0056","","","","欢迎。","","",""
"Darren","Nyx_","0057","Nyx_0057","","Humming Hades Theme riff. Like it's something she sings while working, like a mom doing jobs around the house.","","嗯，嗯嗯，嗯-嗯嗯嗯…嗯，嗯，嗯嗯嗯-嗯-嗯-嗯-嗯，嗯嗯…","","",""
"Unused","Nyx_","0067","Nyx_0067","Story Conversation 2 - Athena","","","跟我说说，孩子。女神雅典娜信守承诺，愿意给予你帮助了吗？","","",""
"Integrated","Nyx_","0068","Nyx_0068","follows previous","","Zag: She has, Nyx. I am grateful that you put us into contact, and explained to her the situation that I'm in.","你这样说我很欣慰。奥林匹斯众神很少与冥界出身的人来往，不过你的情况似乎是一个例外。她应当是一个强大的伙伴。","","",""
"Integrated","Nyx_","0074","Nyx_0074","To Megaera Conversation 1","Real talk with Megaera, reassuring her. Here we see that Nyx is caring for more than just Zagreus and will not take sides in a dispute, but will share her empathy and compassion evenly.","","我们每个人都要对这圣殿负责，女儿。不用自责。既然你的姐妹不在，你就要承担起她们的责任。","","",""
"Integrated","Nyx_","0076","Nyx_0076","To Megaera Conversation 2","Woman-to-woman talk with Megaera; doling out sage advice. We miss the first part of this conversation because we're eavesdropping, but they're talking of professional matters.","","……还有谁可以依靠呢……？不过，我也想让你看一下内部，女儿。一个好的开始对于结果至关重要。","","",""
"Integrated","Nyx_","0079","Nyx_0079","Megaera Conversation 3","She finds this delightful because she senses some insinuation here. She is suggesting Meg is adopted or not her daughter in a traditional sense. This is also a rare time we hear her ghostly laughter.","Zag: 'Nyx, this may be awkward, but, is Megaera your real daughter...? I was just, kind of wondering.'","哈，哈哈。你们大家都是我的孩子。我可是夜的化身。除此之外，没有别的解释。不过我很高兴看到你俩的关系更进一步了。","","",""
"Unused","Nyx_","0081","Nyx_0081","To Hades Conversation 1","Speaking subserviently to Hades.","Hades: 'You are not to aid him in these matters, Nyx. Do we have an understanding?'","是的没错，大人。我忠于这个国度，还有这座圣殿。而我将永远报答您。","","",""
"Unused","Nyx_","0082","Nyx_0082","To Hades Conversation 2","Standing firm, sticking up for herself vs. Hades, matching him pound for pound.","Hades: 'I know that you are helping him. What do you expect me to do about this, Nyx? Deception, in my very house and home.'","我和他的关系仍旧没变，大人。我将全力帮助他，不会改变。你要知道这点。他希望现在可以离开。我不应该去阻止他。","","",""
"Integrated","Nyx_","0090","Nyx_0090","Alt Intro","","","不要绝望，坚持下去，孩子。跟我说说，女神雅典娜信守承诺，愿意给予你帮助了吗？","","",""
"Integrated","Nyx_","0091","Nyx_0091","Alt Intro (Redo)","","","不要绝望，孩子。这种挫折是不可避免的，可以通过努力和时间克服。但是，告诉我，雅典娜女神是否真的遵守了她的诺言？","","",""
"Integrated","Nyx_","0092","Nyx_0092","","","She has, Nyx. I am grateful that you put us into contact, and explained to her the situation that I'm in. I know you took a considerable risk in reaching out.","这是我至少能做的。 奥林匹斯众神通常不参与冥界事务，但是你的情况似乎是有足够原因作为例外。 他们将成为你强大的盟友。 但是，不要向他们透露比他们已经知道的更多的信息。 为了我们的安全。","","",""
"Integrated","Nyx_","0096","Nyx_0096","","","No, Nyx, please, it's... quite all right. You may not have given birth to me, but you still cared for me. I never doubt that. Likewise, is it... is it all right that I refer to you by name?","这比什么都好，我的孩子。","","",""
