"Orpheus","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Orpheus_","0034","Orpheus_0034","","","","也许这时候正适合演奏一曲？","","",""
"Integrated","Orpheus_","0035","Orpheus_0035","","","","你是否对我的某首歌感兴趣？","","",""
"Integrated","Orpheus_","0036","Orpheus_0036","","","","我能为你做些什么，朋友？","","",""
"Integrated","Orpheus_","0037","Orpheus_0037","","","","有什么想听的歌吗？","","",""
"Integrated","Orpheus_","0038","Orpheus_0038","","","","来一小首歌，怎么样？","","",""
"Integrated","Orpheus_","0039","Orpheus_0039","","","","我只是你的卑微的宫廷乐师，扎格列欧斯。","","",""
"To Be Integrated","Orpheus_","0040","Orpheus_0040","","","","也许...一首歌能让事情看起来好点...!","","",""
"Integrated","Orpheus_","0041","Orpheus_0041","","","","好的，我喜欢那首。","","",""
"Integrated","Orpheus_","0042","Orpheus_0042","","","","噢，好的。","","",""
"Integrated","Orpheus_","0043","Orpheus_0043","","","","噢，挺好的。","","",""
"Integrated","Orpheus_","0044","Orpheus_0044","","","","好的，让我们开始吧，朋友！","","",""
"Integrated","Orpheus_","0045","Orpheus_0045","","","","不错，我喜欢这首！","","",""
"Integrated","Orpheus_","0046","Orpheus_0046","","","","我就知道你会这么说。","","",""
"Integrated","Orpheus_","0047","Orpheus_0047","","","","我猜，不如再来一遍？","","",""
"Integrated","Orpheus_","0048","Orpheus_0048","","","","你应该挺喜欢这首歌吧？","","",""
"Integrated","Orpheus_","0049","Orpheus_0049","","","","我很高兴能为你效劳。","","",""
"Integrated","Orpheus_","0050","Orpheus_0050","","","","为什么不呢！","","",""
"Integrated","Orpheus_","0060","Orpheus_0060","","","","你好...!","","",""
"Integrated","Orpheus_","0061","Orpheus_0061","","","","你好...","","",""
"Integrated","Orpheus_","0062","Orpheus_0062","","","","嗯。","","",""
"Integrated","Orpheus_","0063","Orpheus_0063","","","","啊。","","",""
"Integrated","Orpheus_","0064","Orpheus_0064","","","","噢，呃，你好。","","",""
"Integrated","Orpheus_","0065","Orpheus_0065","","","","你好。","","",""
"Integrated","Orpheus_","0091","Orpheus_0091","","","","扎格列欧斯。","","",""
"Integrated","Orpheus_","0092","Orpheus_0092","","","","扎格列欧斯？","","",""
"Integrated","Orpheus_","0093","Orpheus_0093","","","","你好，我的朋友。","","",""
"Integrated","Orpheus_","0094","Orpheus_0094","","","","你好，朋友。","","",""
"Integrated","Orpheus_","0095","Orpheus_0095","","","","你好。","","",""
"Integrated","Orpheus_","0177","Orpheus_0177","","","","如果你坚持的话，那就这首吧，朋友。","","",""
"Integrated","Orpheus_","0144","Orpheus_0144","","","","谢谢你，我会的……我会的。","","",""
"Integrated","Orpheus_","0156","Orpheus_0156","","","","噢，天啊…","","",""
"Integrated","Orpheus_","0157","Orpheus_0157","","","","那狄德勒斯举世闻名的手艺...","","",""
"Integrated","Orpheus_","0158","Orpheus_0158","","","","我的乐谱架...","","",""
"Integrated","Orpheus_","0159","Orpheus_0159","","","","命中注定...","","",""
"Integrated","Orpheus_","0160","Orpheus_0160","","","","赠我一曲...","","",""
"Integrated","Orpheus_","0161","Orpheus_0161","","","","我回想起了一首歌...","","",""
"Integrated","Orpheus_","0162","Orpheus_0162","","","","这激起了我的音乐记忆...","","",""
"Integrated","Orpheus_","0163","Orpheus_0163","","","","灵感枯竭了吗？","","",""
"Integrated","Orpheus_","0164","Orpheus_0164","","","","来自我的缪斯...","","",""
"Integrated","Orpheus_","0165","Orpheus_0165","","","","又一首歌...","","",""
"Integrated","Orpheus_","0166","Orpheus_0166","","","","一首歌...","","",""
"Integrated","Orpheus_","0167","Orpheus_0167","","","","我又回忆起了一首歌...","","",""
"Integrated","Orpheus_","0168","Orpheus_0168","","","","我想起了这首歌...","","",""
"Integrated","Orpheus_","0169","Orpheus_0169","","","","多么美妙。","","",""
"Integrated","Orpheus_","0170","Orpheus_0170","","","","品味之选。","","",""
"Integrated","Orpheus_","0171","Orpheus_0171","","","","你喜欢这首，对吧？","","",""
"Integrated","Orpheus_","0172","Orpheus_0172","","","","哦，那个。","","",""
"Integrated","Orpheus_","0173","Orpheus_0173","","","","那就这首吧。","","",""
"Integrated","Orpheus_","0174","Orpheus_0174","","","","啊，好的。","","",""
"Integrated","Orpheus_","0175","Orpheus_0175","","","","噢，好的。","","",""
"Integrated","Orpheus_","0176","Orpheus_0176","","","","这让我想起了她。","","",""
"Integrated","Orpheus_","0177","Orpheus_0177","","","","如果你坚持的话，那就这首吧，朋友。","","",""
"Darren","Orpheus_","0211","Orpheus_0211","","","","我不知道别的办法了，朋友。","","",""
"Darren","Orpheus_","0214","Orpheus_0214","","","","当然，我的朋友。","","",""
"Integrated","Orpheus_","0220","Orpheus_0220","","","","这几乎是我的一切，朋友。","","",""
"Integrated","Orpheus_","0235","Orpheus_0235","","","","朋友？","","",""
"Integrated","Orpheus_","0236","Orpheus_0236","","","","这恐怕让我很难唱歌，我的朋友。","","",""
"Integrated","Orpheus_","0237","Orpheus_0237","","","","希望你见谅，扎格列欧斯。","","",""
"Integrated","Orpheus_","0238","Orpheus_0238","","","","是我误会你了吗？","","",""
"Integrated","Orpheus_","0239","Orpheus_0239","","","","我发过誓，永远都不参加战斗，我的朋友。","","",""
"Integrated","Orpheus_","0240","Orpheus_0240","","","","我只能通过歌声战斗，我的朋友。","","",""
"Integrated","Orpheus_","0241","Orpheus_0241","","","","拜托了，扎格列欧斯。","","",""
"Integrated","Orpheus_","0242","Orpheus_0242","","","","我想在这里唱歌，我的朋友！","","",""
"Integrated","Orpheus_","0259","Orpheus_0259","","","","不，我很怀疑这一点。","","",""
"Integrated","Orpheus_","0260","Orpheus_0260","","","","我猜我会考虑考虑的。","","",""
