"Patroclus","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Patroclus_","0030","Patroclus_0030","","","","...试想，他本可以...这一切，本可避免...","","",""
"Integrated","Patroclus_","0031","Patroclus_0031","","","","...他总...你总是如此倔强...","","",""
"Integrated","Patroclus_","0032","Patroclus_0032","","","","...我为何被留在此处，孤身一人？你去了哪里...你都做了些什么？","","",""
"Integrated","Patroclus_","0033","Patroclus_0033","","","","...你一定和我一样，也在某处挣扎着，但在哪...？为何不在我身边...？","","",""
"Integrated","Patroclus_","0034","Patroclus_0034","","","","...那么，我想，我就继续在这等待吧。我的时间可宝贵着呢，呵呵。","","",""
"Integrated","Patroclus_","0035","Patroclus_0035","","","","...但你一定很恨我吧，所以才会选择将我抛弃在那些高贵的战士和国王之中...","","",""
"Integrated","Patroclus_","0036","Patroclus_0036","","","","...诸神肯定是憎恶着我们，所以才会让我们像这样分隔两地...","","",""
"Integrated","Patroclus_","0037","Patroclus_0037","","","","...我们曾经历过的一切，我甚至猜想，那是否只是我的记忆的幻像...","","",""
"Integrated","Patroclus_","0043","Patroclus_0043","","","","怎么了？","","",""
"Integrated","Patroclus_","0044","Patroclus_0044","","","","怎么了，陌生人。","","",""
"Unused","Patroclus_","0047","Patroclus_0047","","","","你一定很需要帮助吧。","","",""
"Integrated","Patroclus_","0056","Patroclus_0056","","","","我猜这应该能起点作用。","","",""
"Integrated","Patroclus_","0057","Patroclus_0057","","","","如果这就是你的选择的话。","","",""
"Integrated","Patroclus_","0058","Patroclus_0058","","","","好的，陌生人。","","",""
"Integrated","Patroclus_","0059","Patroclus_0059","","","","那就这样吧。","","",""
"Integrated","Patroclus_","0060","Patroclus_0060","","","","对我来说都一样。","","",""
"Integrated","Patroclus_","0061","Patroclus_0061","","","","你满意就可以。","","",""
"Integrated","Patroclus_","0062","Patroclus_0062","","","","那么，这个就给你了。","","",""
"Integrated","Patroclus_","0063","Patroclus_0063","","","","行，好吧。","","",""
"Integrated","Patroclus_","0064","Patroclus_0064","","","","给你，现在让我一个人静静吧。","","",""
"Integrated","Patroclus_","0065","Patroclus_0065","","","","去吧。","","",""
"Integrated","Patroclus_","0066","Patroclus_0066","","","","这个我已经不需要了。","","",""
"Integrated","Patroclus_","0067","Patroclus_0067","","","","给你了。","","",""
"Integrated","Patroclus_","0068","Patroclus_0068","","","","我不觉得这个东西能起很大作用。","","",""
"Integrated","Patroclus_","0069","Patroclus_0069","","","","有点用比没有好，对吧？","","",""
"Unused","Patroclus_","0070","Patroclus_0070","","","","<叹气>","","",""
"Unused","Patroclus_","0071","Patroclus_0071","","","","<叹气>","","",""
"Unused","Patroclus_","0072","Patroclus_0072","","","","<叹气>","","",""
"Unused","Patroclus_","0073","Patroclus_0073","","","","<叹气>","","",""
"Unused","Patroclus_","0074","Patroclus_0074","","","","<嘲笑>","","",""
"Unused","Patroclus_","0075","Patroclus_0075","","","","<嘲笑>","","",""
"Integrated","Patroclus_","0076","Patroclus_0076","","","","<轻笑>","","",""
"Unused","Patroclus_","0077","Patroclus_0077","","","","<轻笑>","","",""
"Unused","Patroclus_","0078","Patroclus_0078","","","","陌生人。","","",""
"Unused","Patroclus_","0079","Patroclus_0079","","","","是你吗，陌生人…？","","",""
"Integrated","Patroclus_","0080","Patroclus_0080","","","","陌生人…","","",""
"Unused","Patroclus_","0081","Patroclus_0081","","","","是你。","","",""
"Integrated","Patroclus_","0082","Patroclus_0082","","","","你…？","","",""
"Integrated","Patroclus_","0083","Patroclus_0083","","","","又是你。","","",""
"Unused","Patroclus_","0084","Patroclus_0084","","","","又是你…？","","",""
"Integrated","Patroclus_","0085","Patroclus_0085","","","","你又来了。","","",""
"Unused","Patroclus_","0086","Patroclus_0086","","","","是你啊。","","",""
"Integrated","Patroclus_","0087","Patroclus_0087","","","","噢。","","",""
"Integrated","Patroclus_","0088","Patroclus_0088","","","","没用的…","","",""
"Integrated","Patroclus_","0089","Patroclus_0089","","","","想得美。","","",""
"Integrated","Patroclus_","0090","Patroclus_0090","","","","我只能想。","","",""
"Integrated","Patroclus_","0091","Patroclus_0091","","","","我已经死了。","","",""
"Integrated","Patroclus_","0092","Patroclus_0092","","","","那样是行不通的。","","",""
"Integrated","Patroclus_","0093","Patroclus_0093","","","","这样对我没用。","","",""
