"Poseidon","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Poseidon_","0068","Poseidon_0068","","","","请等一下！我不能收下你的礼物之后甩手就走人，知道吗！我希望你可以收下这个，谨表我的谢意！","","",""
"Darren","Poseidon_","0069","Poseidon_0069","","","","这可是我见过的最好的贡品了，我的侄儿！你真是太慷慨了！当然我也一样，现在我也要送你一点东西！","","",""
"Integrated","Poseidon_","0070","Poseidon_0070","","","","谁敢碰我侄儿？！","","",""
"Integrated","Poseidon_","0071","Poseidon_0071","","","","你可以的，小哈迪斯！！","","",""
"Integrated","Poseidon_","0072","Poseidon_0072","","","","淹没他们，侄儿！","","",""
"Integrated","Poseidon_","0075","Poseidon_0075","","","","像狂潮一样，侄儿！","","",""
"Integrated","Poseidon_","0076","Poseidon_0076","","","","真是一帆风顺啊，小哈迪斯。","","",""
"Integrated","Poseidon_","0077","Poseidon_0077","","","","喂，侄儿，我来了！","","",""
"Darren","Poseidon_","0078","Poseidon_0078","","","","最近怎么样了，侄儿？","","",""
"Darren","Poseidon_","0079","Poseidon_0079","","","","见到你真好啊，侄儿。","","",""
"Integrated","Poseidon_","0080","Poseidon_0080","","","","完全没问题！","","",""
"Darren","Poseidon_","0081","Poseidon_0081","","","","当然了！","","",""
"Integrated","Poseidon_","0082","Poseidon_0082","","","","没问题，侄儿！","","",""
"Integrated","Poseidon_","0083","Poseidon_0083","","","","当然，侄儿！","","",""
"Darren","Poseidon_","0084","Poseidon_0084","","","","小意思！","","",""
"Integrated","Poseidon_","0085","Poseidon_0085","","","","真是感激不尽，侄儿！","","",""
"Integrated","Poseidon_","0086","Poseidon_0086","","","","我对你的感谢犹如涛涛海水连绵不绝！","","",""
"Integrated","Poseidon_","0087","Poseidon_0087","","","","非常感谢！","","",""
"Integrated","Poseidon_","0088","Poseidon_0088","","","","作为你的叔叔，我感到很骄傲，我的侄儿！","","",""
"Integrated","Poseidon_","0089","Poseidon_0089","","","","能有你这样的侄儿真好啊，我的侄儿！","","",""
"Integrated","Poseidon_","0090","Poseidon_0090","","","","你真是太慷慨了！","","",""
"Integrated","Poseidon_","0091","Poseidon_0091","","","","非常感谢你的献礼！","","",""
"Darren","Poseidon_","0092","Poseidon_0092","","","","我给你的，侄儿！","","",""
"Darren","Poseidon_","0093","Poseidon_0093","","","","拿着这个，小哈迪斯！","","",""
"Darren","Poseidon_","0094","Poseidon_0094","","","","来，拿上这个！","","",""
"Integrated","Poseidon_","0095","Poseidon_0095","","","","我觉得这个你应该会喜欢！","","",""
"Darren","Poseidon_","0096","Poseidon_0096","","","","别太在意，侄儿！","","",""
"Darren","Poseidon_","0097","Poseidon_0097","","","","噢真是太可惜了。","","",""
"Integrated","Poseidon_","0098","Poseidon_0098","","","","啊，哈哈，尴尬尴尬！","","",""
"Darren","Poseidon_","0099","Poseidon_0099","","","","小小的计算失误！","","",""
"Darren","Poseidon_","0100","Poseidon_0100","","","","犯了个大错啊！","","",""
"Darren","Poseidon_","0101","Poseidon_0101","","","","哦哟，这应该不是故意的…！","","",""
"Darren","Poseidon_","0102","Poseidon_0102","","","","还能做得更好！","","",""
"Integrated","Poseidon_","0103","Poseidon_0103","","","","我警告你不要对我敷衍了事，侄儿！","","",""
"Integrated","Poseidon_","0104","Poseidon_0104","","","","噢你真的不应该这样做。","","",""
"Integrated","Poseidon_","0105","Poseidon_0105","","","","我的忍耐是有极限的，小哈迪斯。","","",""
"Integrated","Poseidon_","0106","Poseidon_0106","","","","你这烦人的小虫…！","","",""
"Integrated","Poseidon_","0107","Poseidon_0107","","","","你现在就像一个傻子！","","",""
"Integrated","Poseidon_","0108","Poseidon_0108","","","","你把自己当成谁了！","","",""
