"Sisyphus","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Sisyphus_","0026","Sisyphus_0026","","","","我和石头都非常荣幸能够为您服务，殿下！","","",""
"Darren","Sisyphus_","0027","Sisyphus_0027","","","","怎么说？","","",""
"Darren","Sisyphus_","0028","Sisyphus_0028","","","","有什么事情我能帮您的吗？","","",""
"Darren","Sisyphus_","0029","Sisyphus_0029","","","","让我们帮您上路吧！","","",""
"Darren","Sisyphus_","0030","Sisyphus_0030","","","","需要帮忙吗？","","",""
"Darren","Sisyphus_","0031","Sisyphus_0031","","","","这些有您感兴趣的吗？","","",""
"Darren","Sisyphus_","0033","Sisyphus_0033","","","","我觉得没问题！","","",""
"Darren","Sisyphus_","0034","Sisyphus_0034","","","","来吧选一个！","","",""
"Darren","Sisyphus_","0035","Sisyphus_0035","","","","我能为您做点什么？","","",""
"Integrated","Sisyphus_","0036","Sisyphus_0036","","","","我可是您的坚强后盾！","","",""
"Darren","Sisyphus_","0037","Sisyphus_0037","","","","我有这些。","","",""
"Integrated","Sisyphus_","0038","Sisyphus_0038","","","","没问题！","","",""
"Integrated","Sisyphus_","0039","Sisyphus_0039","","","","您说了算。","","",""
"Integrated","Sisyphus_","0040","Sisyphus_0040","","","","我懂！","","",""
"Integrated","Sisyphus_","0041","Sisyphus_0041","","","","慢慢来！","","",""
"Integrated","Sisyphus_","0042","Sisyphus_0042","","","","选得好！","","",""
"Integrated","Sisyphus_","0043","Sisyphus_0043","","","","选得不错！","","",""
"Integrated","Sisyphus_","0044","Sisyphus_0044","","","","都归您了！","","",""
"Integrated","Sisyphus_","0045","Sisyphus_0045","","","","行，给！","","",""
"Integrated","Sisyphus_","0046","Sisyphus_0046","","","","好主意！","","",""
"Integrated","Sisyphus_","0047","Sisyphus_0047","","","","我觉得可以！","","",""
"Integrated","Sisyphus_","0048","Sisyphus_0048","","","","真是太棒了！","","",""
"Integrated","Sisyphus_","0049","Sisyphus_0049","","","","完全不担心！","","",""
"Integrated","Sisyphus_","0050","Sisyphus_0050","","","","这难道就是…？","","",""
"Integrated","Sisyphus_","0051","Sisyphus_0051","","","","哎嗨！","","",""
"Integrated","Sisyphus_","0052","Sisyphus_0052","","","","哎嗨这儿呢！","","",""
"Integrated","Sisyphus_","0053","Sisyphus_0053","","","","看清楚啦！","","",""
"Integrated","Sisyphus_","0054","Sisyphus_0054","","","","喂！","","",""
"Integrated","Sisyphus_","0055","Sisyphus_0055","","","","喂喂喂！","","",""
"Integrated","Sisyphus_","0056","Sisyphus_0056","","","","稍微休息一会儿！","","",""
"Integrated","Sisyphus_","0057","Sisyphus_0057","","","","来得正好！","","",""
"Integrated","Sisyphus_","0058","Sisyphus_0058","","","","殿下！","","",""
