"Eurydice","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Lyric","1","EurydiceSong1_Eurydice_001","","","","{!Icons.Music}永别了{!Icons.Music}","","",""
"Integrated","Lyric","2","EurydiceSong1_Eurydice_002","","","","{!Icons.Music}所有凡尘世俗{!Icons.Music}","","",""
"Integrated","Lyric","3","EurydiceSong1_Eurydice_003","","","","{!Icons.Music}不再有负担{!Icons.Music}","","",""
"Integrated","Lyric","4","EurydiceSong1_Eurydice_004","","","","{!Icons.Music}不再有未偿恩怨{!Icons.Music}","","",""
"Integrated","Lyric","5","EurydiceSong1_Eurydice_005","","","","{!Icons.Music}阿特拉斯{!Icons.Music}","","",""
"Integrated","Lyric","6","EurydiceSong1_Eurydice_006","","","","{!Icons.Music}终于能放松筋骨{!Icons.Music}","","",""
"Integrated","Lyric","7","EurydiceSong1_Eurydice_007","","","","{!Icons.Music}让全世界的重担{!Icons.Music}","","",""
"Integrated","Lyric","8","EurydiceSong1_Eurydice_008","","","","{!Icons.Music}都随风消散{!Icons.Music}","","",""
"Integrated","Lyric","9","EurydiceSong1_Eurydice_009","","","","{!Icons.Music}时运已尽{!Icons.Music}","","",""
"Integrated","Lyric","10","EurydiceSong1_Eurydice_010","","","","{!Icons.Music}再见了{!Icons.Music}","","",""
"Integrated","Lyric","11","EurydiceSong1_Eurydice_011","","","","{!Icons.Music}我们所有计划已一笔消尽{!Icons.Music}","","",""
"Integrated","Lyric","12","EurydiceSong1_Eurydice_012","","","","{!Icons.Music}不再有契约{!Icons.Music}","","",""
"Integrated","Lyric","13","EurydiceSong1_Eurydice_013","","","","{!Icons.Music}终于能随心所欲{!Icons.Music}","","",""
"Integrated","Lyric","14","EurydiceSong1_Eurydice_014","","","","{!Icons.Music}不再有饥饿{!Icons.Music}","","",""
"Integrated","Lyric","15","EurydiceSong1_Eurydice_015","","","","{!Icons.Music}夜夜安眠，美梦不断{!Icons.Music}","","",""
