"Storyteller","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Storyteller_","0113","Storyteller_0113","","","","冥王哈迪斯的酒窖……只有少数人才能品到醇香的年份老酒，至于知道该如何进入酒窖的人，就更屈指可数了。","","",""
"Integrated","Storyteller_","0115","Storyteller_0115","","","","珀尔塞福涅，冥界的皇后，冥王哈迪斯的未婚妻，她的画像优雅地挂在血之大厅里，在那根本看不到的地方。","","",""
"Unused","Storyteller_","0120","Storyteller_0120","","","","就在不久前的一个夜晚，冥界王子扎格列欧斯发现那扇一直被父亲大人锁着的门打开了…","","",""
"Unused","Storyteller_","0121","Storyteller_0121","","","","就在儿子悄悄溜进此前不准踏入半步的密室的时候，冥王哈迪斯正在熟睡。","","",""
"Integrated","Storyteller_","0122","Storyteller_0122","","","","父亲的房间里会藏着什么好东西呢？叛逆的王子很是好奇。 ","","",""
"Unused","Storyteller_","0123","Storyteller_0123","","","","什么都没有找到。这个一家之主只顾着工作，一项既残忍又孤独的工作。","","",""
"Unused","Storyteller_","0124","Storyteller_0124","","","","不过，王子发现了一张字条…上面有着他从未见闻过的优美字迹以及动听的声音。","","",""
"Integrated","Storyteller_","0126","Storyteller_0126","","","","咳咳，就这样，王子在不经意间解开了自己的身世之谜。完完全全的偶然，没错…","","",""
"Integrated","Storyteller_","0127","Storyteller_0127","","","","带着满心的疑问和怒气，王子决定与冥界之主当面对质。","","",""
"Integrated","Storyteller_","0128","Storyteller_0128","","","","珀尔塞福涅…曾经的冥后…她去哪儿了，她为什么要走？","","",""
"Unused","Storyteller_","0129","Storyteller_0129","","","","地狱看门犬刻耳柏洛斯用复杂的表情看着冥界王子，从喜悦到忧郁。","","",""
"Unused","Storyteller_","0130","Storyteller_0130","","","","在一个深夜，或者冥界里与之相近的场景。冥界王子扎格列欧斯从断续的睡眠中醒来，迷迷糊糊。","","",""
"Darren","Storyteller_","0153","Storyteller_0153","","","","刻耳柏洛斯接受了礼物，扎格列欧斯王子注意到它的嘴里好像有什么东西要给自己。","","",""
"Integrated","Storyteller_","0155","Storyteller_0155","","","","一艘不起眼的渡船，在冥河的水面上悠然飘过。正是它把无数死者带到他们永远安息的地方。","","",""
