"ZagreusField","ID","ID","ID","","","","Line","","","Notes by DK"
"Integrated","ZagreusField_","0002","ZagreusField_0002a","","","","对此还没有计划。","","",""
"Integrated","ZagreusField_","0003","ZagreusField_0003","","","","没有，至少对你的人生是这样。","","",""
"Integrated","ZagreusField_","0004","ZagreusField_0004","","","","你失败了，而我不会。","","",""
"Integrated","ZagreusField_","0005","ZagreusField_0005","","","","我不会留下来，即使为了他也不行。","","",""
"Integrated","ZagreusField_","0006","ZagreusField_0006","","","","我给你看看。","","",""
"Integrated","ZagreusField_","0007","ZagreusField_0007","","","","我必须得更小心点。","","",""
"Integrated","ZagreusField_","0008","ZagreusField_0008b","","","","没有一点痛苦的人生算什么人生。","","",""
"Integrated","ZagreusField_","0009","ZagreusField_0009","","","","从我脑子里消失。","","",""
"Integrated","ZagreusField_","0010","ZagreusField_0010","","","","恐惧是弱者的专利。","","",""
"Integrated","ZagreusField_","0011","ZagreusField_0011","","","","再见，父亲。","","",""
"Greg","ZagreusField_","0012","ZagreusField_0012","","","","来日方长。","","",""
"Integrated","ZagreusField_","0013","ZagreusField_0013","","","","我要离开这里。","","",""
"Integrated","ZagreusField_","0014","ZagreusField_0014","","","","靠边站。","","",""
"Integrated","ZagreusField_","0015","ZagreusField_0015","","","","你听到了吗？","","",""
"Integrated","ZagreusField_","0016","ZagreusField_0016","","","","该死。","","",""
"Integrated","ZagreusField_","0017","ZagreusField_0017","","","","不要再来招惹我。","","",""
"Integrated","ZagreusField_","0018","ZagreusField_0018","","","","你想再死一次吗？","","",""
"Integrated","ZagreusField_","0019","ZagreusField_0019","","","","都是你自找的。","","",""
"Integrated","ZagreusField_","0020","ZagreusField_0020","","","","别挡道。","","",""
"Integrated","ZagreusField_","0021","ZagreusField_0021","","","","你没办法阻止我的。","","",""
"Integrated","ZagreusField_","0022","ZagreusField_0022","","","","我倒要试试看。","","",""
"Integrated","ZagreusField_","0023","ZagreusField_0023","","","","白痴。","","",""
"Integrated","ZagreusField_","0024","ZagreusField_0024","","","","不投降，就受死。","","",""
"Integrated","ZagreusField_","0025","ZagreusField_0025","","","","你不应该惹我。","","",""
"Integrated","ZagreusField_","0026","ZagreusField_0026","","","","那么，放马过来吧。","","",""
"Integrated","ZagreusField_","0027","ZagreusField_0027","","","","可怜虫。","","",""
"Integrated","ZagreusField_","0028","ZagreusField_0028","","","","你好吗？","","",""
"Integrated","ZagreusField_","0029","ZagreusField_0029","","","","很高兴见到你。","","",""
"Integrated","ZagreusField_","0030","ZagreusField_0030","","","","又是你。","","",""
"Integrated","ZagreusField_","0031","ZagreusField_0031","","","","我应该坚持。","","",""
"Integrated","ZagreusField_","0032","ZagreusField_0032","","","","我应该再接再厉。","","",""
"Integrated","ZagreusField_","0033","ZagreusField_0033a","","","","我应该离开。","","",""
"Integrated","ZagreusField_","0034","ZagreusField_0034","","","","这里什么都没有。","","",""
"Integrated","ZagreusField_","0035","ZagreusField_0035","","","","嗨。","","",""
"Integrated","ZagreusField_","0036","ZagreusField_0036","","","","好呀！","","",""
"Integrated","ZagreusField_","0037","ZagreusField_0037","","","","哈。","","",""
