"ZagreusHome","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK",""
"Integrated","ZagreusHome_","0002","ZagreusHome_0002a","","","","我到家了...","","","",""
"Integrated","ZagreusHome_","0003","ZagreusHome_0003c","","","","我到家了！","","","",""
"Integrated","ZagreusHome_","0004","ZagreusHome_0004","","","","父亲...？","","","",""
"Integrated","ZagreusHome_","0005","ZagreusHome_0005a","","","","我又回来了。","","","",""
"Integrated","ZagreusHome_","0006","ZagreusHome_0006","","","","啊，所以，所有人都想我了吗...？","","","",""
"Integrated","ZagreusHome_","0007","ZagreusHome_0007b","","","","又回来了。","","","",""
"Integrated","ZagreusHome_","0008","ZagreusHome_0008a","","","","这可真伤人。","","","",""
"Integrated","ZagreusHome_","0009","ZagreusHome_0009","","","","<大笑>","","","",""
"Integrated","ZagreusHome_","0010","ZagreusHome_0010b","","","","那次我是怎么做的。","","","",""
"Integrated","ZagreusHome_","0011","ZagreusHome_0011a","","","","那次的表现还不错。","","","",""
"Integrated","ZagreusHome_","0012","ZagreusHome_0012d","","","","还可以做得更好。","","","",""
"Integrated","ZagreusHome_","0014","ZagreusHome_0014","","","","打住...？聊不下去了。","","","",""
"Unused","ZagreusHome_","0016","ZagreusHome_0016b","","","","难怪他们不喜欢你。","","","",""
"Integrated","ZagreusHome_","0018","ZagreusHome_0018","","","","哦，我会。","","","",""
"Unused","ZagreusHome_","0020","ZagreusHome_0020","","","","我所知道的都是你教会我的。除了如何保护自己，这是阿喀琉斯的功劳。","","","",""
"Unused","ZagreusHome_","0023","ZagreusHome_0023","","","","多么希望当时也在场，可以看到你的表情。","","","",""
"Unused","ZagreusHome_","0026","ZagreusHome_0026","","","","至少他喜欢狗。","","","",""
"Unused","ZagreusHome_","0030","ZagreusHome_0030","","","","他倒头就睡。有多长时间他是醒着的...？管他呢，我该走了。","","","",""
"Integrated","ZagreusHome_","0031","ZagreusHome_0031","","","","帮我看好父亲噢，乖乖。可别让他坏了大家的情绪。","","","",""
"Integrated","ZagreusHome_","0033","ZagreusHome_0033","","","","好吧，再来一次。","","","",""
"Integrated","ZagreusHome_","0034","ZagreusHome_0034","","","","我准备好了，一如既往。","","","",""
"Integrated","ZagreusHome_","0035","ZagreusHome_0035","","","","该走了。","","","",""
"Integrated","ZagreusHome_","0036","ZagreusHome_0036","","","","没有用。","","","",""
"Integrated","ZagreusHome_","0037","ZagreusHome_0037","","","","它被锁住了。","","","",""
"Integrated","ZagreusHome_","0038","ZagreusHome_0038","","","","没办法。","","","",""
"Integrated","ZagreusHome_","0039","ZagreusHome_0039","","","","最好不要。","","","",""
"Integrated","ZagreusHome_","0040","ZagreusHome_0040","","","","打不开。","","","",""
"Integrated","ZagreusHome_","0041","ZagreusHome_0041","","","","不可能。","","","",""
"Integrated","ZagreusHome_","0042","ZagreusHome_0042a","","","","嘿，房间，我回来了。","","","",""
"Integrated","ZagreusHome_","0043","ZagreusHome_0043","","","","<叹气>","","","",""
"Integrated","ZagreusHome_","0044","ZagreusHome_0044","","","","嘿，房间。","","","",""
"Integrated","ZagreusHome_","0045","ZagreusHome_0045","","","","我回来了，房间，你想我了吗？","","","",""
"Integrated","ZagreusHome_","0046","ZagreusHome_0046","","","","众神啊...","","","",""
"Integrated","ZagreusHome_","0047","ZagreusHome_0047","","","","我现在要怎么做。","","","",""
"Integrated","ZagreusHome_","0048","ZagreusHome_0048","","","","我会争取赢得你们的青睐。","","","",""
"Integrated","ZagreusHome_","0049","ZagreusHome_0049","","","","这才像话。","","","",""
"Integrated","ZagreusHome_","0050","ZagreusHome_0050","","","","非常感谢。","","","",""
"Integrated","ZagreusHome_","0051","ZagreusHome_0051","","","","感谢众神。","","","",""
"Integrated","ZagreusHome_","0052","ZagreusHome_0052","","","","不管怎样，试试看再说。","","","",""
"Integrated","ZagreusHome_","0053","ZagreusHome_0053","","","","当然，为什么不呢。","","","",""
"Integrated","ZagreusHome_","0054","ZagreusHome_0054","","","","还能更糟糕吗？","","Note: Used in Field context","",""
"Integrated","ZagreusHome_","0055","ZagreusHome_0055","","","","嗯，也可以。","","","",""
"Integrated","ZagreusHome_","0056","ZagreusHome_0056","","","","我们来看看。","","","",""
"Integrated","ZagreusHome_","0057","ZagreusHome_0057","","","","我们这就去看看。","","","",""
"Integrated","ZagreusHome_","0058","ZagreusHome_0058","","","","嗯。","","","",""
"Integrated","ZagreusHome_","0059","ZagreusHome_0059","","","","我们这里有些什么。","","","",""
"Integrated","ZagreusHome_","0060","ZagreusHome_0060","","","","看我发现了什么。","","","",""
"Integrated","ZagreusHome_","0061","ZagreusHome_0061","","","","哇...","","","",""
"Integrated","ZagreusHome_","0062","ZagreusHome_0062","","","","呃...","","","",""
"Integrated","ZagreusHome_","0063","ZagreusHome_0063","","","","啊...","","","",""
"Integrated","ZagreusHome_","0064","ZagreusHome_0064","","","","嗯，那好吧。","","","",""
"Integrated","ZagreusHome_","0065","ZagreusHome_0065","","","","呃，惊喜...！","","","",""
"Integrated","ZagreusHome_","0066","ZagreusHome_0066","","","","哦，拜托，没这么糟糕吧？","","","",""
"Integrated","ZagreusHome_","0067","ZagreusHome_0067","","","","母亲...我想知道...你还记得我吗？","","","",""
"Integrated","ZagreusHome_","0069","ZagreusHome_0069","","","","做好去冥界的准备...","","","",""
"Integrated","ZagreusHome_","0070","ZagreusHome_0070","","","","我看起来怎么样...","","","",""
"Integrated","ZagreusHome_","0071","ZagreusHome_0071","","","","觉得要刮个胡子...","","","",""
"Integrated","ZagreusHome_","0072","ZagreusHome_0072","","","","你好，帅哥。","","","",""
"Integrated","ZagreusHome_","0073","ZagreusHome_0073","","","","好了，我准备好了。","","","",""
"Integrated","ZagreusHome_","0074","ZagreusHome_0074","","","","一切就绪。","","","",""
"Integrated","ZagreusHome_","0075","ZagreusHome_0075","","","","那就出发吧。","","","",""
"Integrated","ZagreusHome_","0076","ZagreusHome_0076","","","","太棒了。","","","",""
"Integrated","ZagreusHome_","0077","ZagreusHome_0077","","","","不是休息的时候。","","","",""
"Integrated","ZagreusHome_","0078","ZagreusHome_0078","","","","一坐下来，我就不想站起来了。","","","",""
