"Zeus","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Zeus_","0066","Zeus_0066","","","啊，不过你也知道我从来不拒绝任何贡品，相对的，我甚至还会回礼，就像现在这样！","","",""
"Darren","Zeus_","0067","Zeus_0067","","","收下如此精致的物品我一定要回礼，年轻人；所以请从我这里收下这个，务必收下。","","",""
"Integrated","Zeus_","0069","Zeus_0069","","","奥林匹斯的神罚！","","",""
"Integrated","Zeus_","0070","Zeus_0070","","","你竟敢惹怒我！","","",""
"Integrated","Zeus_","0071","Zeus_0071","","","让我来教训教训你！","","",""
"Darren","Zeus_","0077","Zeus_0077","","","你好，我的侄儿！","","",""
"Integrated","Zeus_","0078","Zeus_0078","","","你好，年轻人。","","",""
"Darren","Zeus_","0079","Zeus_0079","","","见到你非常高兴，扎格列欧斯。","","",""
"Integrated","Zeus_","0080","Zeus_0080","","","祝福你，侄儿！","","",""
"Integrated","Zeus_","0081","Zeus_0081","","","我兄弟的儿子，最近如何？","","",""
"Integrated","Zeus_","0082","Zeus_0082","","","那就这样。","","",""
"Integrated","Zeus_","0083","Zeus_0083","","","可以做到。","","",""
"Integrated","Zeus_","0084","Zeus_0084","","","很简单。","","",""
"Integrated","Zeus_","0085","Zeus_0085","","","为什么不呢。","","",""
"Darren","Zeus_","0086","Zeus_0086","","","很好！","","",""
"Integrated","Zeus_","0087","Zeus_0087","","","我很感谢你。","","",""
"Integrated","Zeus_","0088","Zeus_0088","","","非常荣幸！","","",""
"Integrated","Zeus_","0089","Zeus_0089","","","我喜欢这个。","","",""
"Integrated","Zeus_","0090","Zeus_0090","","","谢谢你，年轻人。","","",""
"Integrated","Zeus_","0091","Zeus_0091","","","我会记得的，侄儿。","","",""
"Integrated","Zeus_","0092","Zeus_0092","","","祝福你，扎格列欧斯。","","",""
"Integrated","Zeus_","0093","Zeus_0093","","","你真是慷慨。","","",""
"Darren","Zeus_","0094","Zeus_0094","","","谨此表达我的谢意。","","",""
"Darren","Zeus_","0095","Zeus_0095","","","请收下我的小小礼物。","","",""
"Darren","Zeus_","0096","Zeus_0096","","","请务必收下。","","",""
"Integrated","Zeus_","0097","Zeus_0097","","","这是我给你的。","","",""
"Darren","Zeus_","0098","Zeus_0098","","","拿着，侄儿，给你的。","","",""
"Darren","Zeus_","0099","Zeus_0099","","","真是令人失望。","","",""
"Darren","Zeus_","0100","Zeus_0100","","","稍有远见就可以避免这种事情的发生。","","",""
"Darren","Zeus_","0101","Zeus_0101","","","也许我就不该期望过多。","","",""
"Darren","Zeus_","0102","Zeus_0102","","","真是严重的错误。","","",""
"Darren","Zeus_","0103","Zeus_0103","","","这肯定不是故意的。","","",""
"Darren","Zeus_","0104","Zeus_0104","","","这不太好。","","",""
"Integrated","Zeus_","0105","Zeus_0105","","","别当傻子，年轻人。","","",""
"Integrated","Zeus_","0106","Zeus_0106","","","不要这样做，侄儿。","","",""
"Integrated","Zeus_","0107","Zeus_0107","","","你跟你父亲真像啊。","","",""
"Integrated","Zeus_","0108","Zeus_0108","","","太放肆了，年轻人。","","",""
"Darren","Zeus_","0109","Zeus_0109","","","看来你也不过如此。","","",""
"Darren","Zeus_","0110","Zeus_0110","","","太鲁莽了，扎格列欧斯。","","",""
"Integrated","Zeus_","0111","Zeus_0111","","","最好不要惹我生气，我的侄儿。","","",""
"Darren","Zeus_","0112","Zeus_0112","","","现在没什么好谈的。","","",""
"Darren","Zeus_","0113","Zeus_0113","","","我现在有其他事情要做，谢谢。","","",""
"Darren","Zeus_","0114","Zeus_0114","","","下次再来找我吧。","","",""
"Darren","Zeus_","0115","Zeus_0115","","","我刚刚是不是看错了…？","","",""
"Darren","Zeus_","0116","Zeus_0116","","","真的是太奇怪了。","","",""
"Integrated","Zeus_","0117","Zeus_0117","","","嗯真是没想到。","","",""
"Darren","Zeus_","0118","Zeus_0118","","","真的很难相信…！","","",""
"Darren","Zeus_","0119","Zeus_0119","","","这怎么可能？","","",""
"Darren","Zeus_","0120","Zeus_0120","","","真是出色啊，扎格列欧斯。","","",""
"Darren","Zeus_","0121","Zeus_0121","","","你的能力依旧令人注目，侄儿。","","",""
"Darren","Zeus_","0122","Zeus_0122","","","干得好。","","",""
"Darren","Zeus_","0123","Zeus_0123","","","你真的很熟练啊！","","",""
"Darren","Zeus_","0124","Zeus_0124","","","干得好，年轻人。","","",""
"Darren","Zeus_","0128","Zeus_0128","","","我刚刚是不是看错了…？","","",""
"Darren","Zeus_","0129","Zeus_0129","","","真的是太奇怪了。","","",""
"Darren","Zeus_","0130","Zeus_0130","","","嗯真是没想到。","","",""
"Darren","Zeus_","0131","Zeus_0131","","","真的很难相信…！","","",""
"Darren","Zeus_","0132","Zeus_0132","","","这怎么可能？","","",""
"Integrated","Zeus_","0069","Zeus_0069","","","奥林匹斯之名，神罚！","","",""
"Integrated","Zeus_","0070","Zeus_0070","","","你竟敢惹怒我！","","",""
